game_id,ok_n_rows,ok_n_players,ok_role_3_7,ok_winners,ok_consistency,all_ok,n_rows,n_players,winners,mafia_cnt,cit_cnt,winners_mafia,winners_citizens
249863,True,True,True,False,False,False,10,10,0,3,7,0,0
249873,True,True,True,False,False,False,10,10,0,3,7,0,0
249874,True,True,True,False,False,False,10,10,0,3,7,0,0
249881,True,True,True,False,False,False,10,10,0,3,7,0,0
249882,True,True,True,False,False,False,10,10,0,3,7,0,0
249884,True,True,True,False,False,False,10,10,0,3,7,0,0
249885,True,True,True,False,False,False,10,10,0,3,7,0,0
249886,True,True,True,False,False,False,10,10,0,3,7,0,0
249903,True,True,True,False,False,False,10,10,0,3,7,0,0
249904,True,True,True,False,False,False,10,10,0,3,7,0,0
249905,True,True,True,False,False,False,10,10,0,3,7,0,0
249906,True,True,True,False,False,False,10,10,0,3,7,0,0
250011,True,True,True,False,False,False,10,10,0,3,7,0,0
251052,True,True,True,False,False,False,10,10,10,3,7,3,7
251053,True,True,True,False,False,False,10,10,10,3,7,3,7
251054,True,True,True,False,False,False,10,10,10,3,7,3,7
251055,True,True,True,False,False,False,10,10,10,3,7,3,7
251056,True,True,True,False,False,False,10,10,10,3,7,3,7
251057,True,True,True,False,False,False,10,10,10,3,7,3,7
251208,True,True,True,False,False,False,10,10,10,3,7,3,7
251209,True,True,True,False,False,False,10,10,10,3,7,3,7
251210,True,True,True,False,False,False,10,10,10,3,7,3,7
251212,True,True,True,False,False,False,10,10,10,3,7,3,7
251213,True,True,True,False,False,False,10,10,10,3,7,3,7
251214,True,True,True,False,False,False,10,10,10,3,7,3,7
251256,True,True,True,False,False,False,10,10,10,3,7,3,7
251260,True,True,True,False,False,False,10,10,10,3,7,3,7
251264,True,True,True,False,False,False,10,10,10,3,7,3,7
251265,True,True,True,False,False,False,10,10,10,3,7,3,7
251268,True,True,True,False,False,False,10,10,10,3,7,3,7
251272,True,True,True,False,False,False,10,10,10,3,7,3,7
251414,True,True,True,False,False,False,10,10,10,3,7,3,7
251415,True,True,True,False,False,False,10,10,10,3,7,3,7
251416,True,True,True,False,False,False,10,10,10,3,7,3,7
251417,True,True,True,False,False,False,10,10,10,3,7,3,7
251418,True,True,True,False,False,False,10,10,10,3,7,3,7
251419,True,True,True,False,False,False,10,10,10,3,7,3,7
251476,True,True,True,False,False,False,10,10,10,3,7,3,7
251477,True,True,True,False,False,False,10,10,10,3,7,3,7
251478,True,True,True,False,False,False,10,10,10,3,7,3,7
251479,True,True,True,False,False,False,10,10,10,3,7,3,7
251480,True,True,True,False,False,False,10,10,10,3,7,3,7
251481,True,True,True,False,False,False,10,10,10,3,7,3,7
251624,True,True,True,False,False,False,10,10,10,3,7,3,7
251625,True,True,True,False,False,False,10,10,10,3,7,3,7
251626,True,True,True,False,False,False,10,10,10,3,7,3,7
251627,True,True,True,False,False,False,10,10,10,3,7,3,7
251628,True,True,True,False,False,False,10,10,10,3,7,3,7
251629,True,True,True,False,False,False,10,10,10,3,7,3,7
251698,True,True,True,False,False,False,10,10,10,3,7,3,7
251699,True,True,True,False,False,False,10,10,10,3,7,3,7
251700,True,True,True,False,False,False,10,10,10,3,7,3,7
251701,True,True,True,False,False,False,10,10,10,3,7,3,7
251702,True,True,True,False,False,False,10,10,10,3,7,3,7
251703,True,True,True,False,False,False,10,10,10,3,7,3,7
251812,True,True,True,False,False,False,10,10,10,3,7,3,7
251813,True,True,True,False,False,False,10,10,10,3,7,3,7
251814,True,True,True,False,False,False,10,10,10,3,7,3,7
251815,True,True,True,False,False,False,10,10,10,3,7,3,7
251887,True,True,True,False,False,False,10,10,10,3,7,3,7
251888,True,True,True,False,False,False,10,10,10,3,7,3,7
251889,True,True,True,False,False,False,10,10,10,3,7,3,7
251890,True,True,True,False,False,False,10,10,10,3,7,3,7
251891,True,True,True,False,False,False,10,10,10,3,7,3,7
251892,True,True,True,False,False,False,10,10,10,3,7,3,7
251893,True,True,True,False,False,False,10,10,10,3,7,3,7
251894,True,True,True,False,False,False,10,10,10,3,7,3,7
252016,True,True,True,False,False,False,10,10,10,3,7,3,7
252017,True,True,True,False,False,False,10,10,10,3,7,3,7
252018,True,True,True,False,False,False,10,10,10,3,7,3,7
252019,True,True,True,False,False,False,10,10,10,3,7,3,7
252020,True,True,True,False,False,False,10,10,10,3,7,3,7
252021,True,True,True,False,False,False,10,10,10,3,7,3,7
252081,True,True,True,False,False,False,10,10,10,3,7,3,7
252082,True,True,True,False,False,False,10,10,10,3,7,3,7
252083,True,True,True,False,False,False,10,10,10,3,7,3,7
252084,True,True,True,False,False,False,10,10,10,3,7,3,7
252085,True,True,True,False,False,False,10,10,10,3,7,3,7
252086,True,True,True,False,False,False,10,10,10,3,7,3,7
252087,True,True,True,False,False,False,10,10,10,3,7,3,7
252088,True,True,True,False,False,False,10,10,10,3,7,3,7
